DATE_OBS,OBJECT,AZEL,ARRAY,offset,hpbw,pos1,pos2,pos3,BASE1_st,BASE1_ed,SIGNAL_st,SIGNAL_ed,BASE2_st,BASE2_ed,rmsTa*1,rmsTa*2,rmsTa*3,peakTa*1,peakTa*2,peakTa*3,IntegINT1,IntegINT2,IntegINT3,rmsIntegInt1,rmsIntegInt2,rmsIntegInt3,Temp,AirPress,WaterVapor,wind_sp,wind_dir,ProgTime,AZprog,ELprog,subXprog,subZ1prog,subZ2prog,RealTime,AZreal,ELreal,subXreal,subZ1real,subZ2real,AZcolreal,ELcolreal,AZopticalErr,ELopticalErr,inclinationX,inclinationY,manualDaz,manualDel,qlookAutoDaz,qlookAutoDel,refractionDel,thermalDaz,thermalDel,InstrumentalDaz,InstrumentalDel
2018-01-25 17:55:59.1,NML-Tau,AZ,A06,1.613166,38.933665,20.001600,0.000000,-20.001600,-358.792001,-273.932805,-167.858811,256.437166,341.296361,426.155557,0.668216,0.649536,0.658789,18.304282,35.143843,16.258095,102.421773,189.202451,80.885166,6.339730,6.162502,6.250292,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A06,0.817596,38.580303,20.001600,0.000000,-20.001600,-46.934458,20.952899,22.862231,46.834953,50.017173,117.692381,0.610143,0.621540,0.628461,18.259623,35.077395,16.196019,86.150203,170.781837,76.267314,1.375972,1.401675,1.417283,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A07,1.727816,37.555569,20.001600,0.000000,-20.001600,-358.792001,-273.932805,-167.858811,256.437166,341.296361,426.155557,0.634703,0.607669,0.605223,16.560992,32.347298,14.675122,90.186220,172.853785,68.726389,6.021772,5.765292,5.742083,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A07,0.836384,38.604717,20.001600,0.000000,-20.001600,-46.934458,20.952899,22.862231,46.834953,50.017173,117.692381,0.568042,0.583871,0.564495,16.525969,32.293435,14.625670,80.803456,159.820433,71.345162,1.281029,1.316724,1.273030,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A08,1.795799,36.925655,20.001600,0.000000,-20.001600,-358.792001,-273.932805,-167.858811,256.437166,341.296361,426.155557,0.639856,0.620311,0.613787,16.846674,32.383124,14.783862,81.954340,159.746333,61.191510,6.070668,5.885228,5.823332,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A08,0.835070,38.741620,20.001600,0.000000,-20.001600,-46.934458,20.952899,22.862231,46.834953,50.017173,117.692381,0.574592,0.592306,0.572833,16.840121,32.363579,14.765979,81.425306,160.292880,71.971368,1.295799,1.335748,1.291833,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A09,-0.124264,35.633167,20.001600,0.000000,-20.001600,-361.553038,-276.097345,-169.277729,258.000735,343.456428,428.912120,0.535365,0.542961,0.561024,10.486990,22.238000,11.276178,60.495266,146.497248,61.822941,5.115000,5.187581,5.360156,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A09,0.009297,39.148757,20.001600,0.000000,-20.001600,-47.503367,20.861187,22.783940,46.925174,50.129762,118.280677,0.545007,0.562135,0.552906,10.503714,22.212154,11.274852,64.507490,132.932635,64.420745,1.237721,1.276619,1.255658,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A10,-1.090200,33.920538,20.001600,0.000000,-20.001600,-361.553038,-276.097345,-169.277729,258.000735,343.456428,428.912120,0.538876,0.565684,0.547240,10.592587,22.830226,11.478284,48.388577,140.946620,59.706658,5.148554,5.404683,5.228458,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
2018-01-25 17:55:59.1,NML-Tau,AZ,A10,0.104831,39.065146,20.001600,0.000000,-20.001600,-47.503367,20.861187,22.783940,46.925174,50.129762,118.280677,0.550889,0.569740,0.535301,10.638245,22.822425,11.489185,64.008268,131.397707,63.040316,1.251078,1.293888,1.215677,-10.800000,853.000000,1.000000,2.500000,93.000000,180125175559.5 ,136.128080,58.748895,14.241629,-5.185019,-7.523909,180125175559.1 ,136.125669,58.750677,14.237500,-5.183158,-7.522856,136.125584,58.748016,0.000172,0.000000,-20.312500,7.031250,-2.700000,-13.100000,0.000000,0.000000,32.336176,0.000000,0.000000,-67.702990,65.136474
